"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"2465","Herkimer County Community College","28900","24800","30100","32400","32500","Herkimer","NY","www.herkimer.edu/","7480","8157.5","9500","0.708989335","Public"
"2466","Hilbert College","36700","31900","39100","42100","43200","Hamburg","NY","www.hilbert.edu","20470","19750","19500","0.946524064","Private"
"2467","Hobart William Smith Colleges","44800","40800","49400","53000","58100","Geneva","NY","WWW.HWS.EDU","23863","27000","27000","0.970972424","Private"
"2468","Hofstra University","47500","40000","49500","54300","59700","Hempstead","NY","www.hofstra.edu","18800","18500","16119.5","0.919883467","Private"
"2469","Houghton College","38900","30400","37500","39200","44100","Houghton","NY","www.houghton.edu","18000","20250","19500","0.892045455","Private"
"2470","Hudson Valley Community College","34100","29600","34900","38600","39900","Troy","NY","www.hvcc.edu","5125","5500","5500","0.577080491","Public"
"2471","Hunter Business School","26400","23700","27500","28400","26400","Levittown","NY","hunterbusinessschool.edu","7173","7322.5","5500","0.655844156","Private"
"2472","Institute of Design and Construction","37500","PrivacySuppressed","35500","41600","50000","Brooklyn","NY","www.idc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2473","Institute of Audio Research","29000","25100","30400","34500","33700","New York","NY","audioschool.com","9500","7910.5","5500","0.893314367","Private"
"2474","Iona College","45000","39600","49700","53100","56300","New Rochelle","NY","www.iona.edu","18500","21594.5","19500","0.915473756","Private"
"2475","Isabella Graham Hart School of Practical Nursing","37000","32300","40300","33900","34500","Rochester","NY","www.rochesterregionalhealth.org/IGH","7079","PrivacySuppressed","PrivacySuppressed","0.882882883","Private"
"2476","Island Drafting and Technical Institute","40800","42100","40800","42200","43600","Amityville","NY","www.idti.edu","12780","PrivacySuppressed","PrivacySuppressed","0.896226415","Private"
"2477","Ithaca College","44300","38600","46900","51800","55900","Ithaca","NY","www.ithaca.edu","21954","23300","21500","0.969609856","Private"
"2478","Jamestown Community College","28200","25400","30500","30900","32300","Jamestown","NY","www.sunyjcc.edu","5214","5500","6500","0.487479806","Public"
"2479","Jamestown Business College","22500","20500","25500","24900","25900","Jamestown","NY","www.jamestownbusinesscollege.edu","6999","PrivacySuppressed","PrivacySuppressed","0.455197133","Private"
"2480","Jefferson Community College","29000","25700","30600","32700","33400","Watertown","NY","www.sunyjefferson.edu","4466","5483","5501","0.500196928","Public"
"2481","Jewish Theological Seminary of America","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.jtsa.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2482","The Juilliard School","30600","34700","34900","44500","51900","New York","NY","www.juilliard.edu","27000","26910","25000","PrivacySuppressed","Private"
"2483","SBI Campus-An Affiliate of Sanford-Brown","32600","28100","34000","36500","36400","Melville","NY","www.sbmelville.edu","8229","11188","15750","0.872463768","Private"
"2484","Kehilath Yakov Rabbinical Seminary","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Ossining","NY","kehilathyakov.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2485","Keuka College","39600","39200","42400","43200","43700","Keuka Park","NY","www.keuka.edu","21250","21898","22325","0.915854739","Private"
"2486","LIM College","40700","37500","44100","45600","49400","New York","NY","www.limcollege.edu","15750","21500","19000","0.921875","Private"
"2487","Le Moyne College","46100","36700","46600","48600","50900","Syracuse","NY","www.lemoyne.edu","19000","24250","20500","0.947075209","Private"
"2488","LIU Brooklyn","48300","43700","50800","52200","52300","Brooklyn","NY","liu.edu/Brooklyn","19500","19000","16875","0.784284497","Private"
"2489","LIU Post","48300","43700","50800","52200","52300","Brookville","NY","liu.edu/CWPost","19500","19000","16875","0.784284497","Private"
"2490","Long Island Beauty School-Hempstead","24700","21400","22900","23600","24200","Hempstead","NY","www.libs.edu","7324","PrivacySuppressed","PrivacySuppressed","0.801204819","Private"
"2491","Long Island Business Institute","22600","20900","22900","26900","24800","Flushing","NY","www.libi.edu","8000","14250","22489","0.034545455","Private"
"2492","LIU Hudson at Rockland","48300","43700","50800","52200","52300","Orangeburg","NY","www.liu.edu/Hudson","19500","19000","16875","0.784284497","Private"
"2493","LIU Brentwood","48300","43700","50800","52200","52300","Brentwood","NY","liu.edu/Brentwood","19500","19000","16875","0.784284497","Private"
"2494","Machzikei Hadath Rabbinical College","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2495","Mandl School-The College of Allied Health","28700","25200","28000","30500","30700","New York","NY","www.mandl.edu","10215","PrivacySuppressed","PrivacySuppressed","0.885350319","Private"
"2496","Manhattan College","52300","49200","57800","65100","66200","Riverdale","NY","www.manhattan.edu","19500","23992","21500","0.900355872","Private"
"2497","Manhattan School of Music","24200","25400","31600","36100","37600","New York","NY","www.msmnyc.edu","21975","22750","19000","PrivacySuppressed","Private"
"2498","Manhattanville College","42600","36400","43900","46800","53900","Purchase","NY","www.manhattanville.edu","19440","20250","19500","0.893129771","Private"
"2499","Maria College of Albany","40600","39000","39400","43100","43000","Albany","NY","www.mariacollege.edu","14610","14837.5","12000","0.925549915","Private"
"2500","Marion S Whelan School of Nursing of Geneva General Hospital","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Geneva","NY","www.flhealth.org","10837","14158","12000","PrivacySuppressed","Private"
"2501","Marist College","45400","43500","50200","54600","57900","Poughkeepsie","NY","www.Marist.edu","21500","25000","22500","0.958464774","Private"
"2502","MarJon School of Beauty ltd-Tonawanda","19300","18900","19700","19800","21700","Tonawanda","NY","marjonbeauty.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.854304636","Private"
"2503","Marymount Manhattan College","36800","31800","38600","40500","42200","New York","NY","www.mmm.edu","16750","18500","17686","0.908060453","Private"
"2504","Medaille College","37800","34500","38900","41300","42600","Buffalo","NY","www.medaille.edu","10500","15000","17500","0.885109599","Private"
"2505","Memorial College of Nursing","51400","54300","54500","PrivacySuppressed","47800","Albany","NY","www.nehealth.com","13869","12063","10000","PrivacySuppressed","Private"
"2506","Memorial Hospital School of Radiation Therapy Technology","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.mskcc.org/mskcc/html/13431.cfm","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2507","Mercy College","37700","34100","38800","42200","41900","Dobbs Ferry","NY","www.mercy.edu","16000","16510","13500","0.805463576","Private"
"2508","Mesivta Torah Vodaath Rabbinical Seminary","PrivacySuppressed","20300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Brooklyn","NY","independentrabbinicalcolleges.org/index.html","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2509","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2510","Mesivtha Tifereth Jerusalem of America","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2511","Southern Westchester BOCES-Practical Nursing Program","61800","50900","63000","61800","59600","Harrison","NY","www.swboces.org","11691","PrivacySuppressed","PrivacySuppressed","0.829931973","Public"
"2512","Midway Paris Beauty School","21200","19400","20700","26900","22000","Ridgewood","NY","www.midwayparis.com/","6642","PrivacySuppressed","PrivacySuppressed","0.872483222","Private"
"2513","Mildred Elley School-Albany Campus","23200","20300","22100","24000","25100","Albany","NY","www.mildred-elley.edu","9490.5","10500","10500","0.956697693","Private"
"2514","Mirrer Yeshiva Cent Institute","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","27300","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2515","Modern Welding School","37500","33900","38500","35300","37700","Schenectady","NY","www.modernwelding.com","9500","5500","5500","0.867403315","Private"
"2516","Mohawk Valley Community College","29300","26600","29900","32500","33700","Utica","NY","www.mvcc.edu","5750","7691","7644","0.529809619","Public"
"2517","Molloy College","56200","54500","57400","59800","58600","Rockville Centre","NY","www.molloy.edu","25000","25429","22500","0.935544431","Private"
"2518","Monroe College","29000","28000","30200","31000","31100","Bronx","NY","www.monroecollege.edu","12250","16000","14600","0.798694677","Private"
"2519","Monroe Community College","29800","27100","30800","32800","34300","Rochester","NY","www.monroecc.edu/","6587","6750","6398","0.60276984","Public"
"2520","Mount Saint Mary College","44100","39700","45000","48700","49500","Newburgh","NY","www.msmc.edu","21125","21396.5","19500","0.927289049","Private"
"2521","College of Mount Saint Vincent","48700","44000","50300","53000","54700","Bronx","NY","www.mountsaintvincent.edu","25000","25000","20750","0.950377562","Private"
"2522","Icahn School of Medicine at Mount Sinai","94900","71700","137100","PrivacySuppressed","174100","New York","NY","icahn.mssm.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2523","Nassau Community College","35500","30800","37100","40800","42000","Garden City","NY","www.ncc.edu/","5500","5500","5500","0.315146496","Public"
"2524","Nazareth College","39200","36100","40600","44100","44700","Rochester","NY","www.naz.edu","21251","22281","22750","0.962001854","Private"
"2525","Neighborhood Playhouse School of the Theater","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York City","NY","www.neighborhoodplayhouse.org","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2526","The College of New Rochelle","36300","31100","34300","39700","38600","New Rochelle","NY","www.cnr.edu","14110","16500","18232","0.516595289","Private"
"2527","The New School","43300","39000","45900","44100","48800","New York","NY","www.newschool.edu/","20417","20125","16000","0.912909836","Private"
"2528","New School of Radio and Television","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33100","33200","Albany","NY","thenewschool.us","6335","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2529","New York Chiropractic College","PrivacySuppressed","PrivacySuppressed","52800","66200","PrivacySuppressed","Seneca Falls","NY","www.nycc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2530","Star Career Academy-New York","NULL","23100","PrivacySuppressed","NULL","PrivacySuppressed","New York","NY","www.starcareer.edu","8863","9500","8208","0.83809118","Private"
"2531","New York Law School","98400","73500","106000","85000","89200","New York","NY","www.nyls.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2532","New York Medical College","123800","74500","169100","144400","PrivacySuppressed","Valhalla","NY","WWW.NYMC.EDU","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2533","New York School for Medical and Dental Assistants","27400","25600","27100","31800","30800","Long Island City","NY","nysmda.com","8747","PrivacySuppressed","PrivacySuppressed","0.893150685","Private"
"2534","New York Theological Seminary","NULL","NULL","NULL","NULL","NULL","New York","NY","nyts.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2535","New York University","59300","52000","62800","70400","76500","New York","NY","www.nyu.edu","19800","23000","19750","0.787995878","Private"
"2536","Niagara County Community College","30800","29100","31900","32900","34200","Sanborn","NY","www.niagaracc.suny.edu","5535","6500","6750","0.521285141","Public"
"2537","Niagara University","37600","34600","38900","44400","44300","Niagara University","NY","www.niagara.edu","21206.5","22740.5","20500","0.952447552","Private"
"2538","Empire Beauty School-Peekskill","PrivacySuppressed","PrivacySuppressed","19000","PrivacySuppressed","PrivacySuppressed","Peekskill","NY","www.empire.edu","8348","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2539","North Country Community College","28500","26500","30400","30400","31800","Saranac Lake","NY","www.nccc.edu","7275","8525","8750","0.689614936","Public"
